path,file,assigned_emo,majority_emo,agreement,duration
./dataset/zoom11-20/zoom011/mic/z011_mic_actor057_script1_1_2b.flac,z011_mic_actor057_script1_1_2b.flac,Angry,Frustrated,0.625,3.863
./dataset/zoom11-20/zoom011/mic/z011_mic_actor057_script1_1_3a.flac,z011_mic_actor057_script1_1_3a.flac,Happy,Neutral,0.75,3.209
./dataset/zoom11-20/zoom011/mic/z011_mic_actor057_script1_1_3b.flac,z011_mic_actor057_script1_1_3b.flac,Happy,Happy,0.75,3.928
./dataset/zoom11-20/zoom011/mic/z011_mic_actor057_script1_1_4a.flac,z011_mic_actor057_script1_1_4a.flac,Sad,Neutral,0.8,4.724
./dataset/zoom11-20/zoom011/mic/z011_mic_actor057_script1_1_4b.flac,z011_mic_actor057_script1_1_4b.flac,Sad,Neutral,0.875,4.707
./dataset/zoom11-20/zoom011/mic/z011_mic_actor057_script1_1_5a.flac,z011_mic_actor057_script1_1_5a.flac,Frustrated,Neutral,0.9,4.133
./dataset/zoom11-20/zoom011/mic/z011_mic_actor057_script1_1_5b.flac,z011_mic_actor057_script1_1_5b.flac,Frustrated,Frustrated,0.75,4.761
./dataset/zoom11-20/zoom011/mic/z011_mic_actor057_script1_2_1a.flac,z011_mic_actor057_script1_2_1a.flac,Neutral,Neutral,0.8,3.742
./dataset/zoom11-20/zoom011/mic/z011_mic_actor057_script1_2_1b.flac,z011_mic_actor057_script1_2_1b.flac,Neutral,Neutral,0.9,3.544
./dataset/zoom11-20/zoom011/mic/z011_mic_actor057_script1_2_2a.flac,z011_mic_actor057_script1_2_2a.flac,Angry,None,0.0,4.028
./dataset/zoom11-20/zoom011/mic/z011_mic_actor057_script1_2_2b.flac,z011_mic_actor057_script1_2_2b.flac,Angry,Neutral,0.4,3.818
./dataset/zoom11-20/zoom011/mic/z011_mic_actor057_script1_2_3a.flac,z011_mic_actor057_script1_2_3a.flac,Happy,Happy,0.7000000000000001,3.307
./dataset/zoom11-20/zoom011/mic/z011_mic_actor057_script1_2_3b.flac,z011_mic_actor057_script1_2_3b.flac,Happy,None,0.0,3.667
./dataset/zoom11-20/zoom011/mic/z011_mic_actor057_script1_2_4a.flac,z011_mic_actor057_script1_2_4a.flac,Sad,Neutral,0.6000000000000001,4.087
