path,file,assigned_emo,majority_emo,agreement
/content/dataset/studio11-20/studio013/con/s013_con_actor025_impro4_7.flac,s013_con_actor025_impro4_7.flac,Angry,Angry,0.642857142857142
/content/dataset/studio11-20/studio013/con/s013_con_actor025_impro4_15.flac,s013_con_actor025_impro4_15.flac,Angry,Frustrated,0.8571428571428571
/content/dataset/studio11-20/studio013/con/s013_con_actor025_impro2_24.flac,s013_con_actor025_impro2_24.flac,Happy,Happy,0.8571428571428571
/content/dataset/studio11-20/studio013/con/s013_con_actor026_impro4_16.flac,s013_con_actor026_impro4_16.flac,Frustrated,Frustrated,0.75
/content/dataset/studio11-20/studio013/con/s013_con_actor025_script3_2_4b.flac,s013_con_actor025_script3_2_4b.flac,Sad,Sad,1.0
/content/dataset/studio11-20/studio013/con/s013_con_actor025_impro2_12.flac,s013_con_actor025_impro2_12.flac,Happy,Happy,0.5714285714285711
/content/dataset/studio11-20/studio013/con/s013_con_actor026_impro2_12.flac,s013_con_actor026_impro2_12.flac,Happy,Frustrated,0.625
/content/dataset/studio11-20/studio013/con/s013_con_actor026_impro5_21.flac,s013_con_actor026_impro5_21.flac,Sad,Sad,1.0
/content/dataset/studio11-20/studio013/con/s013_con_actor026_script2_2_2b.flac,s013_con_actor026_script2_2_2b.flac,Angry,Angry,0.5
/content/dataset/studio11-20/studio013/con/s013_con_actor025_impro3_1.flac,s013_con_actor025_impro3_1.flac,Sad,Neutral,0.5714285714285711
/content/dataset/studio11-20/studio013/con/s013_con_actor026_impro2_6.flac,s013_con_actor026_impro2_6.flac,Happy,Happy,0.5714285714285711
/content/dataset/studio11-20/studio013/con/s013_con_actor026_impro4_18.flac,s013_con_actor026_impro4_18.flac,Frustrated,Neutral,0.8125
/content/dataset/studio11-20/studio013/con/s013_con_actor025_impro5_24.flac,s013_con_actor025_impro5_24.flac,Frustrated,Frustrated,0.642857142857142
/content/dataset/studio11-20/studio013/con/s013_con_actor026_script3_2_1b.flac,s013_con_actor026_script3_2_1b.flac,Neutral,Neutral,0.642857142857142
/content/dataset/studio11-20/studio013/con/s013_con_actor025_script3_2_1a.flac,s013_con_actor025_script3_2_1a.flac,Neutral,Neutral,0.5714285714285711
/content/dataset/studio11-20/studio013/con/s013_con_actor025_script3_2_3b.flac,s013_con_actor025_script3_2_3b.flac,Happy,Neutral,0.5
/content/dataset/studio11-20/studio013/con/s013_con_actor025_impro5_15.flac,s013_con_actor025_impro5_15.flac,Frustrated,Frustrated,0.75
/content/dataset/studio11-20/studio013/con/s013_con_actor026_impro2_16.flac,s013_con_actor026_impro2_16.flac,Happy,Happy,0.833333333333333
/content/dataset/studio11-20/studio013/con/s013_con_actor025_impro5_11.flac,s013_con_actor025_impro5_11.flac,Frustrated,Frustrated,1.0
/content/dataset/studio11-20/studio013/con/s013_con_actor026_impro4_4.flac,s013_con_actor026_impro4_4.flac,Frustrated,None,0.0
/content/dataset/studio11-20/studio013/con/s013_con_actor025_impro3_9.flac,s013_con_actor025_impro3_9.flac,Sad,Sad,0.9375
/content/dataset/studio11-20/studio013/con/s013_con_actor026_impro4_23.flac,s013_con_actor026_impro4_23.flac,Frustrated,Neutral,0.5
/content/dataset/studio11-20/studio013/con/s013_con_actor026_impro4_20.flac,s013_con_actor026_impro4_20.flac,Frustrated,Neutral,0.4375
/content/dataset/studio11-20/studio013/con/s013_con_actor026_impro5_9.flac,s013_con_actor026_impro5_9.flac,Sad,Sad,0.625
/content/dataset/studio11-20/studio013/con/s013_con_actor026_impro2_9.flac,s013_con_actor026_impro2_9.flac,Happy,Frustrated,0.5625
